left_words	slider_words	right_words	question_type	trial	max_duration	min	max	default	triad_mix
dog,dog,dog,dog	pony,cat,cow,seagull	horse,horse,horse,horse	practice	1	100	0	100	50	random
donut,donut,donut,donut	orange,pancake,coffee,potato	apple,apple,apple,apple	practice	2	100	0	100	50	random
same	same	different	catch	3	10	0	100	50	random
yes	yes	no	catch	4	10	0	100	50	random
left	left	right	catch	5	10	0	100	50	random
left	right	right	catch	6	10	0	100	50	random
door,door,door,door	desk,couch,chair,cabinet	cushion,cushion,cushion,cushion	type1	7	10	0	100	50	random
alligator,alligator,alligator,alligator	elephant,turtle,snail,mouse	octopus,octopus,octopus,octopus	type1	8	10	0	100	50	random
dish,dish,dish,dish	radio,hammer,doll,toy	pen,pen,pen,pen	type3	9	10	0	100	50	random
work,work,work,work	find,make,use,allow	train,train,train,train	type3	10	10	0	100	50	random
