left_words	slider_words	right_words	question_type	trial	max_duration	min	max	default	triad_mix
dog,dog,dog,dog	pony,cat,cow,seagull	horse,horse,horse,horse	practice	1	100	0	100	50	50% type 1/50% type 3
donut,donut,donut,donut	orange,pancake,coffee,potato	apple,apple,apple,apple	practice	2	100	0	100	50	50% type 1/50% type 3
same	same	different	catch	3	10	0	100	50	50% type 1/50% type 3
yes	yes	no	catch	4	10	0	100	50	50% type 1/50% type 3
left	left	right	catch	5	10	0	100	50	50% type 1/50% type 3
left	right	right	catch	6	10	0	100	50	50% type 1/50% type 3
pen,pen,pen,pen	brush,doll,hammer,radio	toy,toy,toy,toy	type1	7	10	0	100	50	50% type 1/50% type 3
clam,clam,clam,clam	elephant,zebra,turtle,mouse	octopus,octopus,octopus,octopus	type1	8	10	0	100	50	50% type 1/50% type 3
make,make,make,make	oven,fork,pot,scissors	knife,knife,knife,knife	type3	9	10	0	100	50	50% type 1/50% type 3
use,use,use,use	exist,allow,find,make	desk,desk,desk,desk	type3	10	10	0	100	50	50% type 1/50% type 3
